Date	Beadchip	Section	FocusGrn	RegGrn	P05Grn	P95Grn	FocusRed	RegRed	P05Red	P95Red
10/21/2016 11:53:55 AM	200796240064	A	0.60	0.97	98.22	1097.69	0.00	0.00	0.00	0.00
10/21/2016 11:54:27 AM	200796240064	B	0.67	0.97	101.29	1055.31	0.00	0.00	0.00	0.00
10/21/2016 11:55:00 AM	200796240064	C	0.68	0.97	100.50	892.41	0.00	0.00	0.00	0.00
10/21/2016 11:55:33 AM	200796240064	D	0.68	0.96	105.89	1008.42	0.00	0.00	0.00	0.00
10/21/2016 11:56:06 AM	200796240064	E	0.62	0.97	102.58	1187.10	0.00	0.00	0.00	0.00
10/21/2016 11:56:39 AM	200796240064	F	0.69	0.98	109.74	1264.06	0.00	0.00	0.00	0.00
10/21/2016 11:57:10 AM	200796240064	G	0.68	0.97	105.26	1001.80	0.00	0.00	0.00	0.00
10/21/2016 11:57:44 AM	200796240064	H	0.62	0.96	96.71	758.32	0.00	0.00	0.00	0.00
10/21/2016 11:58:15 AM	200796240064	I	0.67	0.97	110.35	1215.26	0.00	0.00	0.00	0.00
10/21/2016 11:58:47 AM	200796240064	J	0.62	0.97	98.59	946.25	0.00	0.00	0.00	0.00
10/21/2016 11:59:19 AM	200796240064	K	0.53	0.97	98.06	846.04	0.00	0.00	0.00	0.00
10/21/2016 11:59:52 AM	200796240064	L	0.63	0.97	100.00	807.18	0.00	0.00	0.00	0.00
