TargetID	200729890044_A.AVG_Signal	200729890044_A.Detection Pval	200729890044_B.AVG_Signal	200729890044_B.Detection Pval	200729890044_C.AVG_Signal	200729890044_C.Detection Pval	200729890044_D.AVG_Signal	200729890044_D.Detection Pval	200729890044_E.AVG_Signal	200729890044_E.Detection Pval	200729890044_F.AVG_Signal	200729890044_F.Detection Pval	200729890044_G.AVG_Signal	200729890044_G.Detection Pval	200729890044_H.AVG_Signal	200729890044_H.Detection Pval	200729890044_I.AVG_Signal	200729890044_I.Detection Pval	200729890044_J.AVG_Signal	200729890044_J.Detection Pval	200729890044_K.AVG_Signal	200729890044_K.Detection Pval	200729890044_L.AVG_Signal	200729890044_L.Detection Pval	200796240064_A.AVG_Signal	200796240064_A.Detection Pval	200796240064_B.AVG_Signal	200796240064_B.Detection Pval	200796240064_C.AVG_Signal	200796240064_C.Detection Pval	200796240064_D.AVG_Signal	200796240064_D.Detection Pval	200796240064_E.AVG_Signal	200796240064_E.Detection Pval	200796240064_F.AVG_Signal	200796240064_F.Detection Pval	200796240064_G.AVG_Signal	200796240064_G.Detection Pval	200796240064_H.AVG_Signal	200796240064_H.Detection Pval	200796240064_I.AVG_Signal	200796240064_I.Detection Pval	200796240064_J.AVG_Signal	200796240064_J.Detection Pval	200796240064_K.AVG_Signal	200796240064_K.Detection Pval	200796240064_L.AVG_Signal	200796240064_L.Detection Pval
BIOTIN	21246,49	0,00	20485,93	0,00	21190,08	0,00	23436,16	0,00	27324,12	0,00	26243,19	0,00	26058,3	0,00	28745	0,00	23039,4	0,00	17710,56	0,00	24264,62	0,00	22574,31	0,00	23546,14	0,00	24867,41	0,00	26009,02	0,00	28450,77	0,00	25056,44	0,00	27885,86	0,00	28000,62	0,00	26077,19	0,00	28308,85	0,00	23067,51	0,00	24632,2	0,00	24789,54	0,00
CY3_HYB	12057,6	1,105258E-05	12368,61	1,105258E-05	12910,44	1,105258E-05	13380,15	1,105258E-05	13252,38	1,105258E-05	14511,17	1,105258E-05	14748,26	1,105258E-05	15200,54	1,105258E-05	13779,94	1,105258E-05	12092,48	1,105258E-05	14066,81	1,105258E-05	13020,46	1,105258E-05	14019,21	1,105258E-05	13422,77	1,105258E-05	14786,48	1,105258E-05	15861,83	1,105258E-05	13832,17	1,105258E-05	16400,86	1,105258E-05	15291,92	1,105258E-05	14684,07	1,105258E-05	15638,29	1,105258E-05	13350,17	1,105258E-05	14565,78	1,105258E-05	13456,42	1,105258E-05
ERCC-00002	100,5354	0,8233766	96,47583	0,9103896	103,0942	0,9116883	97,87002	0,8844156	99,19005	0,9597403	93,24261	0,9974026	99,68443	0,9558442	98,96985	0,9766234	100,4031	0,9805195	97,65725	0,912987	108,8012	0,7051948	107,4159	0,4584416	96,94116	0,9207792	104,3731	0,7909091	99,20109	0,9376624	114,827	0,6090909	104,424	0,8376623	102,0263	0,9961039	101,64	0,9545454	96,49144	0,9181818	115,0853	0,7584416	99,10246	0,8844156	107,9657	0,5051948	97,41389	0,951948
ERCC-00003	93,59646	0,9688312	102,6277	0,712987	105,2103	0,8662338	99,62814	0,8376623	100,1639	0,9493507	110,4451	0,6688312	109,734	0,6987013	111,9504	0,6415585	104,6075	0,8961039	107,1469	0,5415584	108,3169	0,7272727	98,84542	0,8714285	100,3062	0,8116883	98,31747	0,9376624	101,702	0,8753247	119,5983	0,4038961	100,44	0,9428571	122,676	0,425974	112,4713	0,6441559	97,36382	0,9012987	112,1225	0,8714285	105,0429	0,687013	110,4053	0,3961039	99,19501	0,9350649
ERCC-00004	91,58619	0,987013	96,29816	0,9142857	105,5121	0,8571429	92,0186	0,9883117	109,1277	0,7558442	110,1117	0,6818182	105,7249	0,8324676	101,4109	0,9415584	106,0821	0,8597403	100,0864	0,8350649	106,2795	0,8051948	94,84502	0,9584416	98,32927	0,8792208	95,79212	0,9753247	110,8566	0,4974026	104,1382	0,9506493	109,862	0,6402597	112,8961	0,8103896	115,9478	0,4883117	96,12803	0,9285714	110,0306	0,925974	93,17401	0,9831169	94,72911	0,9714286	102,518	0,8402597
ERCC-00009	100,0574	0,8363636	94,68257	0,9480519	106,9781	0,8064935	101,262	0,7883117	102,1919	0,9233766	99,47543	0,9558442	106,89	0,7896104	98,09444	0,9857143	112,9234	0,5896104	103,4292	0,7181818	100,4374	0,9571428	96,92719	0,9246753	102,6261	0,7337663	101,9631	0,8688312	103,65	0,8142857	103,2936	0,9571428	100,192	0,9506493	108,8081	0,9220779	104,6719	0,9116883	106,9651	0,4935065	116,6743	0,7064935	94,23488	0,9753247	92,375	0,9935065	99,85168	0,9220779
ERCC-00012	92,24067	0,9844156	91,42419	0,9883117	105,9166	0,8389611	96,35483	0,9324675	92,92847	0,9961039	97,79758	0,9766234	106,8616	0,7896104	94,60787	0,9974026	111,1228	0,6545454	98,72755	0,8818182	99,45471	0,9766234	99,02518	0,861039	98,65222	0,874026	103,419	0,8168831	101,0132	0,8935065	99,52943	0,9844156	104,9808	0,8207792	104,1569	0,9857143	108,1754	0,8155844	90,70568	0,9883117	119,0207	0,5909091	107,3021	0,5662338	107,3101	0,5324675	99,99921	0,9194805
ERCC-00013	91,57597	0,987013	96,81438	0,9012987	110,7522	0,674026	98,68607	0,8714285	104,5475	0,8805195	107,034	0,7909091	109,5004	0,7051948	109,7729	0,7155844	111,0568	0,6584415	105,7325	0,6090909	98,10188	0,9818182	101,9931	0,7506493	101,3019	0,7753247	96,37147	0,9727273	97,13726	0,9701298	107,8997	0,8714285	106,1353	0,7883117	113,2874	0,7987013	109,2373	0,7792208	100,0683	0,8285714	115,8695	0,738961	98,72615	0,8961039	105,2857	0,635065	106,3544	0,7077922
ERCC-00014	94,79236	0,9584416	99,04066	0,8350649	119,203	0,3324675	111,9929	0,3142857	107,9056	0,7831169	112,4694	0,5792208	119,7761	0,2922078	105,3568	0,8571429	105,9374	0,8636364	104,2379	0,6662338	109,9911	0,6623377	100,6176	0,8025974	111,5604	0,2896104	95,82041	0,9753247	109,2532	0,5714286	105,4208	0,9324675	108,1913	0,7090909	114,1043	0,7766234	108,0656	0,8168831	104,584	0,5974026	118,5255	0,6207792	99,55013	0,874026	94,03266	0,9753247	101,894	0,8662338
ERCC-00016	104,8391	0,6675324	103,907	0,6623377	110,1953	0,6922078	101,7072	0,7727273	111,5422	0,6753247	110,1147	0,6818182	116,1816	0,4428571	103,728	0,8922078	114,3867	0,5246753	110,8569	0,3662338	108,3498	0,7272727	108,0331	0,4324675	102,2659	0,7441558	112,2537	0,4597403	103,9818	0,8012987	120,4548	0,3701299	112,9892	0,4792208	121,9027	0,4610389	116,1536	0,4779221	101,1286	0,7714286	118,0715	0,6441559	112,0772	0,3402597	115,5324	0,2220779	103,0959	0,8168831
