TargetID	ProbeID	200729890044_A.AVG_Signal	200729890044_A.Detection Pval	200729890044_B.AVG_Signal	200729890044_B.Detection Pval	200729890044_C.AVG_Signal	200729890044_C.Detection Pval	200729890044_D.AVG_Signal	200729890044_D.Detection Pval	200729890044_E.AVG_Signal	200729890044_E.Detection Pval	200729890044_F.AVG_Signal	200729890044_F.Detection Pval	200729890044_G.AVG_Signal	200729890044_G.Detection Pval	200729890044_H.AVG_Signal	200729890044_H.Detection Pval	200729890044_I.AVG_Signal	200729890044_I.Detection Pval	200729890044_J.AVG_Signal	200729890044_J.Detection Pval	200729890044_K.AVG_Signal	200729890044_K.Detection Pval	200729890044_L.AVG_Signal	200729890044_L.Detection Pval	200796240064_A.AVG_Signal	200796240064_A.Detection Pval	200796240064_B.AVG_Signal	200796240064_B.Detection Pval	200796240064_C.AVG_Signal	200796240064_C.Detection Pval	200796240064_D.AVG_Signal	200796240064_D.Detection Pval	200796240064_E.AVG_Signal	200796240064_E.Detection Pval	200796240064_F.AVG_Signal	200796240064_F.Detection Pval	200796240064_G.AVG_Signal	200796240064_G.Detection Pval	200796240064_H.AVG_Signal	200796240064_H.Detection Pval	200796240064_I.AVG_Signal	200796240064_I.Detection Pval	200796240064_J.AVG_Signal	200796240064_J.Detection Pval	200796240064_K.AVG_Signal	200796240064_K.Detection Pval	200796240064_L.AVG_Signal	200796240064_L.Detection Pval
BIOTIN	5090180	22074,65	0,00	22765,35	0,00	22441,05	0,00	25438,14	0,00	29640,47	0,00	30393,36	0,00	27284,47	0,00	32136,76	0,00	23989,29	0,00	19480,89	0,00	26259,56	0,00	22757,06	0,00	26308,73	0,00	27130,62	0,00	27286,26	0,00	30962,89	0,00	25771,73	0,00	29488,05	0,00	29910,96	0,00	29560,69	0,00	30436,51	0,00	25455,16	0,00	26605	0,00	26921,65	0,00
BIOTIN	6510136	20418,32	0,00	18206,5	0,00	19939,11	0,00	21434,17	0,00	25007,77	0,00	22093,02	0,00	24832,13	0,00	25353,23	0,00	22089,51	0,00	15940,23	0,00	22269,68	0,00	22391,56	0,00	20783,56	0,00	22604,2	0,00	24731,79	0,00	25938,65	0,00	24341,14	0,00	26283,68	0,00	26090,29	0,00	22593,7	0,00	26181,19	0,00	20679,85	0,00	22659,41	0,00	22657,43	0,00
CY3_HYB	1110170	25894,91	0,00	25872,61	0,00	28538,63	0,00	29022,55	0,00	26709,13	0,00	32400,88	0,00	32552,66	0,00	33119	0,00	30940,09	0,00	27856,64	0,00	31549,82	0,00	27461,28	0,00	29835,95	0,00	27361,66	0,00	32184,45	0,00	32001,88	0,00	31971,29	0,00	35407,92	0,00	34827	0,00	31774,73	0,00	34034,11	0,00	28268,57	0,00	31169,31	0,00	30170,06	0,00
CY3_HYB	1450438	743,6609	0,00	765,8757	0,00	799,1054	0,00	736,5724	0,00	805,4297	0,00	751,9176	0,00	843,6118	0,00	883,5298	0,00	810,215	0,00	725,7073	0,00	805,1631	0,00	794,1055	0,00	785,2349	0,00	844,722	0,00	845,216	0,00	877,0398	0,00	815,0784	0,00	807,7584	0,00	856,6823	0,00	761,1341	0,00	858,3337	0,00	771,9305	0,00	772,3789	0,00	749,7498	0,00
CY3_HYB	2510500	7596,211	0,00	8215,456	0,00	7489,468	0,00	8103,984	0,00	8840,534	0,00	8400,685	0,00	8169,937	0,00	8553,399	0,00	8052,169	0,00	7787,697	0,00	8539,493	0,00	8099,589	0,00	7819,897	0,00	7738,652	0,00	8024,221	0,00	9032,945	0,00	7911,155	0,00	8440,813	0,00	7858,419	0,00	7815,713	0,00	8414,08	0,00	7637,978	0,00	7386,311	0,00	7348,064	0,00
CY3_HYB	4010327	30800,02	0,00	31701,39	0,00	33337,65	0,00	34601,09	0,00	35207,09	0,00	37699,66	0,00	38753,25	0,00	40315,68	0,00	34587,14	0,00	27224,22	0,00	34931,95	0,00	33716,04	0,00	38892,09	0,00	36956,32	0,00	40214,5	0,00	44867,02	0,00	35019,23	0,00	44943,55	0,00	40277,33	0,00	40519,87	0,00	42142,6	0,00	36237,7	0,00	39502,88	0,00	35246,95	0,00
CY3_HYB	4610291	6605,816	0,00	7034,566	0,00	6523,539	0,00	7087,549	0,00	7181,02	0,00	7007,866	0,00	7369,733	0,00	7505,156	0,00	7481,65	0,00	8242,794	0,00	7771,646	0,00	7262,971	0,00	6052,923	0,00	6886,365	0,00	6765,362	0,00	7592,882	0,00	6563,997	0,00	8021,886	0,00	7158,743	0,00	6522,865	0,00	7635,7	0,00	6445,992	0,00	7833,096	0,00	6426,17	0,00
CY3_HYB	7560739	704,9822	0,00	621,7685	0,00	774,2706	0,00	729,136	0,00	771,0417	0,00	806,0216	0,00	800,3452	0,00	826,5101	0,00	808,3538	0,00	717,7926	0,00	802,8065	0,00	788,7502	0,00	729,1907	0,00	748,9235	0,00	685,1027	0,00	799,2264	0,00	712,2764	0,00	783,2206	0,00	773,3699	0,00	710,0863	0,00	744,9169	0,00	738,8832	0,00	730,7281	0,00	797,5018	0,00
ERCC-00002	430220	100,5354	0,8233766	96,47583	0,9103896	103,0942	0,9116883	97,87002	0,8844156	99,19005	0,9597403	93,24261	0,9974026	99,68443	0,9558442	98,96985	0,9766234	100,4031	0,9805195	97,65725	0,912987	108,8012	0,7051948	107,4159	0,4584416	96,94116	0,9207792	104,3731	0,7909091	99,20109	0,9376624	114,827	0,6090909	104,424	0,8376623	102,0263	0,9961039	101,64	0,9545454	96,49144	0,9181818	115,0853	0,7584416	99,10246	0,8844156	107,9657	0,5051948	97,41389	0,951948
ERCC-00003	6370471	93,59646	0,9688312	102,6277	0,712987	105,2103	0,8662338	99,62814	0,8376623	100,1639	0,9493507	110,4451	0,6688312	109,734	0,6987013	111,9504	0,6415585	104,6075	0,8961039	107,1469	0,5415584	108,3169	0,7272727	98,84542	0,8714285	100,3062	0,8116883	98,31747	0,9376624	101,702	0,8753247	119,5983	0,4038961	100,44	0,9428571	122,676	0,425974	112,4713	0,6441559	97,36382	0,9012987	112,1225	0,8714285	105,0429	0,687013	110,4053	0,3961039	99,19501	0,9350649
