TargetID	ProbeID	Excluded/Imputed	200729890044_A.AVG_Signal	200729890044_A.Avg_NBEADS	200729890044_A.BEAD_STDERR	200729890044_A.Excluded	200729890044_A.Imputed	200729890044_B.AVG_Signal	200729890044_B.Avg_NBEADS	200729890044_B.BEAD_STDERR	200729890044_B.Excluded	200729890044_B.Imputed	200729890044_C.AVG_Signal	200729890044_C.Avg_NBEADS	200729890044_C.BEAD_STDERR	200729890044_C.Excluded	200729890044_C.Imputed	200729890044_D.AVG_Signal	200729890044_D.Avg_NBEADS	200729890044_D.BEAD_STDERR	200729890044_D.Excluded	200729890044_D.Imputed	200729890044_E.AVG_Signal	200729890044_E.Avg_NBEADS	200729890044_E.BEAD_STDERR	200729890044_E.Excluded	200729890044_E.Imputed	200729890044_F.AVG_Signal	200729890044_F.Avg_NBEADS	200729890044_F.BEAD_STDERR	200729890044_F.Excluded	200729890044_F.Imputed	200729890044_G.AVG_Signal	200729890044_G.Avg_NBEADS	200729890044_G.BEAD_STDERR	200729890044_G.Excluded	200729890044_G.Imputed	200729890044_H.AVG_Signal	200729890044_H.Avg_NBEADS	200729890044_H.BEAD_STDERR	200729890044_H.Excluded	200729890044_H.Imputed	200729890044_I.AVG_Signal	200729890044_I.Avg_NBEADS	200729890044_I.BEAD_STDERR	200729890044_I.Excluded	200729890044_I.Imputed	200729890044_J.AVG_Signal	200729890044_J.Avg_NBEADS	200729890044_J.BEAD_STDERR	200729890044_J.Excluded	200729890044_J.Imputed	200729890044_K.AVG_Signal	200729890044_K.Avg_NBEADS	200729890044_K.BEAD_STDERR	200729890044_K.Excluded	200729890044_K.Imputed	200729890044_L.AVG_Signal	200729890044_L.Avg_NBEADS	200729890044_L.BEAD_STDERR	200729890044_L.Excluded	200729890044_L.Imputed	200796240064_A.AVG_Signal	200796240064_A.Avg_NBEADS	200796240064_A.BEAD_STDERR	200796240064_A.Excluded	200796240064_A.Imputed	200796240064_B.AVG_Signal	200796240064_B.Avg_NBEADS	200796240064_B.BEAD_STDERR	200796240064_B.Excluded	200796240064_B.Imputed	200796240064_C.AVG_Signal	200796240064_C.Avg_NBEADS	200796240064_C.BEAD_STDERR	200796240064_C.Excluded	200796240064_C.Imputed	200796240064_D.AVG_Signal	200796240064_D.Avg_NBEADS	200796240064_D.BEAD_STDERR	200796240064_D.Excluded	200796240064_D.Imputed	200796240064_E.AVG_Signal	200796240064_E.Avg_NBEADS	200796240064_E.BEAD_STDERR	200796240064_E.Excluded	200796240064_E.Imputed	200796240064_F.AVG_Signal	200796240064_F.Avg_NBEADS	200796240064_F.BEAD_STDERR	200796240064_F.Excluded	200796240064_F.Imputed	200796240064_G.AVG_Signal	200796240064_G.Avg_NBEADS	200796240064_G.BEAD_STDERR	200796240064_G.Excluded	200796240064_G.Imputed	200796240064_H.AVG_Signal	200796240064_H.Avg_NBEADS	200796240064_H.BEAD_STDERR	200796240064_H.Excluded	200796240064_H.Imputed	200796240064_I.AVG_Signal	200796240064_I.Avg_NBEADS	200796240064_I.BEAD_STDERR	200796240064_I.Excluded	200796240064_I.Imputed	200796240064_J.AVG_Signal	200796240064_J.Avg_NBEADS	200796240064_J.BEAD_STDERR	200796240064_J.Excluded	200796240064_J.Imputed	200796240064_K.AVG_Signal	200796240064_K.Avg_NBEADS	200796240064_K.BEAD_STDERR	200796240064_K.Excluded	200796240064_K.Imputed	200796240064_L.AVG_Signal	200796240064_L.Avg_NBEADS	200796240064_L.BEAD_STDERR	200796240064_L.Excluded	200796240064_L.Imputed	SEARCH_KEY	ILMN_GENE	SYMBOL	PROBE_ID	CHROMOSOME	DEFINITION	SYNONYMS
ATP2B1	6180059	excluded	105,0606	18	4,119575	0	0	115,9854	16	4,444456	0	0	115,6757	8	8,916293	0	0	99,10107	14	1,789392	0	0	113,1234	14	5,447142	0	0	117,5193	16	4,88212	0	0	125,5044	12	7,303146	0	0	114,3326	10	5,787454	0	0	126,194	12	10,77442	0	0	128,2341	14	10,20895	0	0	119,0312	12	7,219322	0	0	125,7072	7	14,68789	0	0	127,9537	5	12,18388	0	0	104,7347	7	7,359156	0	0	119,0391	7	8,426967	0	0	134,0972	2	15,95177	1	0	119,6446	9	7,779249	0	0	118,6986	5	7,729003	0	0	136,7844	10	4,901743	0	0	110,4271	8	6,519331	0	0	134,1038	6	6,417282	0	0	121,493	10	7,808871	0	0	132,3936	14	8,553715	0	0	116,3074	7	11,4798	0	0	NM_001001323.1	ATP2B1	ATP2B1	ILMN_1750599	12	Homo sapiens ATPase, Ca++ transporting, plasma membrane 1 (ATP2B1), transcript variant 1, mRNA.	PMCA1; PMCA1kb
CCNI2	990255	excluded	119,766	9	5,539845	0	0	112,453	15	5,436867	0	0	146,1846	10	6,908052	0	0	115,4476	10	7,83658	0	0	132,2174	16	4,83508	0	0	172,0959	6	27,2852	0	0	123,4459	7	6,529451	0	0	141,5812	11	8,288144	0	0	131,7204	12	7,629593	0	0	138,3151	18	9,188176	0	0	132,7664	13	8,095867	0	0	143,4309	12	13,69468	0	0	122,7645	8	10,13832	0	0	126,9797	9	9,088027	0	0	135,6018	9	9,097001	0	0	115,9448	2	8,669777	1	0	122,1269	7	7,193075	0	0	131,8976	6	2,005526	0	0	122,9514	2	2,215887	1	0	116,6533	2	11,00825	1	0	166,0311	5	20,76344	0	0	143,5571	4	16,32933	0	0	128,2128	7	9,511536	0	0	126,3783	11	5,874589	0	0	NM_001039780.2	CCNI2	CCNI2	ILMN_3241750	5	Homo sapiens cyclin I family, member 2 (CCNI2), mRNA.	FLJ16793
EBAG9	4900270	excluded	108,7192	12	5,401691	0	0	114,2095	13	8,597981	0	0	107,6399	11	7,981904	0	0	105,861	18	4,342591	0	0	125,9199	17	6,331853	0	0	123,1613	11	7,259936	0	0	116,5884	10	4,730258	0	0	124,0105	15	7,944989	0	0	123,673	25	4,048032	0	0	94,39804	11	3,456928	0	0	102,9797	19	3,045554	0	0	104,4802	25	3,978824	0	0	108,4706	5	9,485567	0	0	118,5492	4	1,016786	0	0	116,0449	5	7,34089	0	0	264,8121	2	87,87313	1	0	120,8215	4	7,648487	0	0	107,4477	4	8,01827	0	0	114,242	5	3,828348	0	0	102,7913	3	7,546945	0	0	136,2361	4	1,836231	0	0	101,4088	10	5,352091	0	0	104,5591	11	8,436027	0	0	115,3716	6	9,134242	0	0	NM_004215.3	EBAG9	EBAG9	ILMN_1729144	8	Homo sapiens estrogen receptor binding site associated, antigen, 9 (EBAG9), transcript variant 1, mRNA.	RCAS1; EB9; PDAF
ERN1	4900541	excluded	95,09008	18	4,052145	0	0	93,63251	17	3,502609	0	0	100,2834	18	4,333186	0	0	103,8242	13	7,035168	0	0	97,6775	9	4,584943	0	0	110,8116	11	3,844898	0	0	108,2883	20	4,731782	0	0	126,9565	15	7,023721	0	0	98,93475	19	3,283753	0	0	106,0837	27	2,681275	0	0	109,3748	14	3,640798	0	0	111,2055	17	4,042676	0	0	105,261	6	13,32244	0	0	96,35484	5	8,94104	0	0	156,0411	2	60,9857	1	0	102,3041	4	11,82935	0	0	124,3206	3	22,87889	0	0	98,46192	2	6,22942	1	0	117,2485	6	2,636828	0	0	114,4003	7	6,156368	0	0	114,7225	5	5,953137	0	0	108,9758	6	8,701982	0	0	107,0586	12	2,9572	0	0	121,7478	4	29,02241	0	0	NM_152461.2	ERN1	ERN1	ILMN_1731231	17	Homo sapiens endoplasmic reticulum to nucleus signaling 1 (ERN1), mRNA.	MGC163279; IRE1; IRE1P; FLJ30999; MGC163277
HS.276854	6450386	excluded	162,5286	5	38,58919	0	0	116,8571	4	11,65474	0	0	561,3306	5	420,9766	0	0	100,104	9	4,545475	0	0	96,59882	2	17,02792	1	0	108,5948	5	4,169434	0	0	110,1024	5	4,102662	0	0	108,1198	6	6,123895	0	0	106,6879	8	8,628485	0	0	111,4231	4	5,564431	0	0	121,0297	5	6,426477	0	0	95,23996	6	4,396984	0	0	126,8014	6	17,53422	0	0	126,1839	7	9,761145	0	0	113,7167	7	8,11688	0	0	113,8289	13	3,649275	0	0	149,3999	14	15,14231	0	0	165,3396	8	21,5201	0	0	116,7317	6	11,86505	0	0	131,2314	4	19,53353	0	0	231,9243	6	56,73827	0	0	120,5535	10	8,70264	0	0	128,2016	4	10,12217	0	0	101,0473	7	10,18883	0	0	Hs.276854	HS.276854		ILMN_1869278	3	tj97h01.x1 NCI_CGAP_Lu24 Homo sapiens cDNA clone IMAGE:2149489 3, mRNA sequence	
HS.579949	6180307	excluded	115,7373	6	2,239327	0	0	103,4945	8	7,113821	0	0	117,0453	14	7,037685	0	0	108,6885	9	3,618604	0	0	134,5832	12	8,65289	0	0	110,871	11	8,544992	0	0	117,9092	15	4,500703	0	0	106,513	6	3,169886	0	0	104,992	12	4,383501	0	0	117,2461	12	5,290653	0	0	121,9385	9	11,36321	0	0	101,4819	6	5,060622	0	0	114,3173	5	11,10622	0	0	100,4078	5	11,14216	0	0	118,9639	7	7,904859	0	0	122,2047	7	7,276621	0	0	128,4358	7	13,20466	0	0	133,3042	4	17,14721	0	0	126,4735	9	7,781173	0	0	114,9373	8	7,782209	0	0	152,1433	2	17,62328	1	0	114,6546	5	8,348863	0	0	190,4734	5	50,72664	0	0	134,031	8	12,36971	0	0	Hs.579949	HS.579949		ILMN_1893083	1	ti67h12.x1 NCI_CGAP_Kid11 Homo sapiens cDNA clone IMAGE:2137127 3, mRNA sequence	
LOC100129296	6180519	excluded	102,3344	6	8,891622	0	0	93,49715	13	3,634465	0	0	134,0846	7	14,87237	0	0	116,2611	14	5,130651	0	0	111,9314	13	4,543295	0	0	99,70424	8	2,436069	0	0	111,3078	9	6,194624	0	0	117,1958	13	8,169737	0	0	137,5946	10	12,66279	0	0	110,1806	11	4,841816	0	0	101,1678	8	3,124978	0	0	104,7906	11	5,17388	0	0	117,731	6	4,004717	0	0	146,1225	4	11,21949	0	0	162,0468	2	63,32038	1	0	133,0522	4	3,952188	0	0	104,6802	5	3,744188	0	0	128,7475	4	12,62423	0	0	466,1999	4	335,402	0	0	124,3093	2	2,79753	1	0	119,8557	7	9,871307	0	0	119,464	7	14,85565	0	0	110,7593	6	5,566665	0	0	108,6783	7	6,676741	0	0	XM_001715416.1	LOC100129296	LOC100129296	ILMN_3244041	2	PREDICTED: Homo sapiens hypothetical protein LOC100129296 (LOC100129296), mRNA.	
LOC100132506	1780220	excluded	110,1958	13	4,731058	0	0	94,62915	6	3,59037	0	0	123,4623	11	10,04458	0	0	114,8669	12	8,543262	0	0	151,1736	5	24,91188	0	0	120,7615	2	9,17894	1	0	126,2111	12	6,323872	0	0	114,9823	8	7,913543	0	0	119,3753	15	5,192055	0	0	142,2847	9	16,78445	0	0	118,2802	12	6,24113	0	0	114,3365	5	11,3238	0	0	113,5217	12	6,80492	0	0	109,0001	11	6,679551	0	0	109,2449	8	6,423604	0	0	120,4575	7	7,895323	0	0	115,7555	9	8,103778	0	0	137,6889	6	11,19991	0	0	130,5476	8	6,299093	0	0	117,1947	10	8,225902	0	0	128,0208	16	8,342521	0	0	93,90855	8	6,008551	0	0	116,9888	7	5,050195	0	0	114,7573	8	8,218495	0	0	XM_001716449.1	LOC100132506	LOC100132506	ILMN_3245586	Y	PREDICTED: Homo sapiens similar to CYorf16 protein (LOC100132506), mRNA.	
LOC100133005	7400097	excluded	117,3966	2	17,56564	1	0	88,80862	2	1,892109	1	0	132,2128	2	28,00746	1	0	159,0297	1	0,00	1	0	268,5795	1	0,00	1	0	219,5583	4	83,83202	0	0	263,5719	2	129,7736	1	0	83,62105	4	3,950314	0	0	119,5838	5	17,15829	0	0	99,66302	4	4,485509	0	0	206,2802	1	0,00	1	0	113,4566	2	8,299214	1	0	0,00	0,00	Non Numérique	1	0	0,00	0,00	Non Numérique	1	0	116,5845	5	10,80336	0	0	140,8036	3	30,73489	0	0	114,9157	3	21,37805	0	0	156,705	4	33,75021	0	0	116,2442	6	10,98563	0	0	98,5213	1	0,00	1	0	123,9878	4	12,94814	0	0	128,414	1	0,00	1	0	164,9806	3	59,88451	0	0	121,826	3	5,182289	0	0	XM_001718200.1	LOC100133005	LOC100133005	ILMN_3247816	7	PREDICTED: Homo sapiens similar to RAS p21 protein activator 4 (LOC100133005), mRNA.	
LOC642711	4900382	excluded	108,4519	15	8,50316	0	0	98,00713	9	8,436246	0	0	113,0306	13	7,319995	0	0	138,8469	5	27,04326	0	0	143,5812	5	18,99697	0	0	98,5442	7	1,234728	0	0	115,0634	10	5,741827	0	0	114,815	10	10,05105	0	0	106,8291	18	6,620979	0	0	109,4584	14	7,109258	0	0	108,0525	17	5,794733	0	0	98,75991	12	4,709061	0	0	104,7733	10	9,925871	0	0	104,24	1	0,00	1	0	94,76815	6	6,862973	0	0	100,5418	4	4,454157	0	0	115,5022	7	12,4041	0	0	119,6103	5	4,766583	0	0	124,8529	7	8,279035	0	0	97,08732	5	9,583922	0	0	122,362	10	8,086093	0	0	123,5407	5	14,18962	0	0	94,7049	8	5,17917	0	0	95,52406	8	4,653327	0	0	XM_931262.1	LOC642711	LOC642711	ILMN_1777248	15	PREDICTED: Homo sapiens similar to junction-mediating and regulatory protein, transcript variant 2 (LOC642711), mRNA.	
