Index	Sample ID	Sample Group	Sentrix Barcode	Sample Section	Detected Genes (0.01)	Detected Genes (0.05)	Signal Average	Signal P05	Signal P25	Signal P50	Signal P75	Signal P95	BIOTIN	CY3_HYB	ERCC-00002	ERCC-00003	ERCC-00004	ERCC-00009	ERCC-00012	ERCC-00013	ERCC-00014	ERCC-00016	ERCC-00017	ERCC-00019	ERCC-00022	ERCC-00024	ERCC-00025	ERCC-00028	ERCC-00031	ERCC-00033	ERCC-00034	ERCC-00035	ERCC-00039	ERCC-00040	ERCC-00041	ERCC-00042	ERCC-00043	ERCC-00044	ERCC-00046	ERCC-00048	ERCC-00051	ERCC-00053	ERCC-00054	ERCC-00057	ERCC-00058	ERCC-00059	ERCC-00060	ERCC-00061	ERCC-00062	ERCC-00067	ERCC-00069	ERCC-00071	ERCC-00073	ERCC-00074	ERCC-00075	ERCC-00076	ERCC-00077	ERCC-00078	ERCC-00079	ERCC-00081	ERCC-00083	ERCC-00084	ERCC-00085	ERCC-00086	ERCC-00092	ERCC-00095	ERCC-00096	ERCC-00097	ERCC-00098	ERCC-00099	ERCC-00104	ERCC-00108	ERCC-00109	ERCC-00111	ERCC-00112	ERCC-00113	ERCC-00116	ERCC-00117	ERCC-00120	ERCC-00123	ERCC-00126	ERCC-00130	ERCC-00131	ERCC-00134	ERCC-00136	ERCC-00137	ERCC-00138	ERCC-00142	ERCC-00143	ERCC-00144	ERCC-00145	ERCC-00147	ERCC-00148	ERCC-00150	ERCC-00154	ERCC-00156	ERCC-00157	ERCC-00158	ERCC-00160	ERCC-00162	ERCC-00163	ERCC-00164	ERCC-00165	ERCC-00168	ERCC-00170	ERCC-00171	HOUSEKEEPING	LABELING	LOW_STRINGENCY_HYB	NEGATIVE (background)	Noise
1	200729890044_A	Pop1	200729890044	A	8972	11214	378,4918	98,58086	106,9389	115,4784	147,8084	1021,62	21246,49	12057,6	100,5354	93,59646	91,58619	100,0574	92,24067	91,57597	94,79236	104,8391	101,4524	100,1363	103,4369	93,62964	94,85994	117,4235	92,57067	103,9731	100,4533	103,82	95,51113	97,34038	102,2047	91,52242	91,61107	100,1121	103,4486	93,85088	104,082	99,7115	95,71922	99,62612	104,9833	96,70023	99,94593	97,81598	99,71173	98,93416	98,1741	103,5704	96,97108	96,30952	88,13865	94,13515	97,11074	94,9543	92,37372	101,4301	97,40368	91,27901	100,2967	94,31532	100,8115	96,08317	100,3381	99,00065	91,54044	94,92152	102,0805	95,58215	86,75606	95,78579	106,0102	97,03497	116,7861	97,65287	97,33128	97,15156	110,5331	106,9013	100,5131	105,2113	110,9228	106,4233	102,4176	96,17917	95,98959	105,5037	101,4301	99,57325	92,34544	104,9755	99,18113	111,0364	107,3831	93,95756	102,8418	103,768	96,27763	103,4217	99,66646	95,55728	93,21048	108,074	12622,93	102,7973	13218,65	109,1692	9,481782
2	200729890044_B	Pop1	200729890044	B	9864	12296	341,9467	98,09261	106,9381	115,4931	150,1339	971,8239	20485,93	12368,61	96,47583	102,6277	96,29816	94,68257	91,42419	96,81438	99,04066	103,907	96,73587	98,5246	100,5586	90,908	92,26206	102,6393	93,61157	94,20806	100,5441	102,5061	101,7097	98,1562	99,84832	107,1271	92,77949	92,38592	93,92303	98,4985	112,9574	93,65366	98,78015	101,0901	109,7654	95,13559	94,73003	92,7729	99,07127	101,6404	93,88255	95,72937	104,8476	97,22426	87,71987	98,49678	95,22764	95,69371	96,01605	99,56535	95,6703	103,5477	95,869	90,80743	104,0184	97,56516	104,2873	104,2326	92,98043	113,3438	104,3648	92,95245	98,38181	105,8608	98,00057	91,03851	101,5235	112,0384	97,59293	98,16592	118,1494	100,8961	98,61188	106,826	97,88718	121,9075	107,9859	100,5756	99,79497	104,683	90,63305	95,85428	89,39678	92,69427	101,4103	95,52402	108,098	87,00024	108,9573	99,6977	100,7217	107,7768	99,09889	95,48716	110,8541	102,0613	8207,683	101,9398	13387,5	108,2057	9,196304
3	200729890044_C	Pop1	200729890044	C	8292	10631	387,3346	104,5314	113,5399	122,244	148,0545	1009,597	21190,08	12910,44	103,0942	105,2103	105,5121	106,9781	105,9166	110,7522	119,203	110,1953	107,8709	109,6413	101,0264	100,2437	97,93916	108,5069	106,1674	98,74494	114,9655	106,8399	107,622	106,9043	110,823	107,6284	102,9298	102,173	110,1612	104,6572	117,9516	107,2903	98,44092	100,8047	113,6772	109,0544	112,4189	98,07351	102,3289	95,64361	103,5365	107,1082	101,2634	106,4624	90,04823	100,9566	104,0406	95,23153	96,68829	100,9548	102,1954	101,7457	107,6508	101,2009	102,7004	101,0915	108,7251	99,8987	109,6816	110,5962	113,1496	94,5667	100,9521	107,6007	104,8365	105,6151	115,0136	105,4847	116,7806	108,0008	110,4601	128,6357	105,8975	104,7121	98,52182	111,4456	101,6054	102,0673	108,3982	112,8473	108,8305	91,4511	97,6121	108,352	106,7523	109,8557	112,5184	105,2487	108,0071	102,2203	106,0847	108,3888	102,8872	101,2491	108,1856	103,8111	13540,01	107,4296	14847,9	115,8014	10,65776
4	200729890044_D	Pop1	200729890044	D	7495	10793	295,6357	98,64104	106,4923	113,7527	132,5853	728,263	23436,16	13380,15	97,87002	99,62814	92,0186	101,262	96,35483	98,68607	111,9929	101,7072	101,973	104,031	98,87147	97,69041	93,03658	99,65424	93,40629	93,76325	95,05624	102,7233	94,76743	98,74702	95,79359	93,70665	94,19183	103,147	92,95013	98,62037	104,0774	99,3972	100,0049	98,80912	108,4198	103,4559	99,28162	114,6487	101,7389	100,7636	90,31847	103,952	91,30331	93,62885	97,17464	102,3066	91,7967	87,81409	108,1974	103,0896	100,2639	99,29608	102,929	99,08812	98,54045	96,71748	106,3958	108,0302	88,4886	111,0963	104,6269	97,50865	98,12788	96,05337	95,35957	94,03999	103,9051	104,6488	99,7585	102,8564	122,6637	94,19888	102,4658	96,68784	100,7108	100,4367	96,90525	93,95042	98,71526	112,8845	111,1239	100,2468	100,5827	95,34634	105,7692	94,78144	126,9596	94,80419	98,27358	97,62049	109,9518	104,6162	103,5508	95,2526	105,6425	104,9753	10451,29	106,9645	14890,58	108,4064	9,186316
5	200729890044_E	Pop1	200729890044	E	10486	12741	452,7141	105,9093	115,683	126,0068	184,3898	1415,86	27324,12	13252,38	99,19005	100,1639	109,1277	102,1919	92,92847	104,5475	107,9056	111,5422	109,8581	103,3834	106,1807	106,4188	105,5288	110,6585	100,3804	104,9658	108,7798	105,8819	106,597	110,2725	101,9986	107,5406	99,75134	116,4188	95,79287	112,2407	126,3069	106,2431	95,62493	114,5768	110,3708	105,4316	128,4352	103,1471	112,1805	115,6652	103,951	109,3657	110,0117	111,7621	102,7348	112,7839	102,6634	106,1027	106,0061	104,9134	100,8889	104,1654	106,8273	97,22225	106,4091	99,75179	113,7055	107,9465	103,4336	116,234	99,49979	99,61098	102,102	96,10203	110,4133	109,5389	103,9429	104,0784	104,3033	95,43153	119,2359	136,0648	117,4277	102,8904	99,49643	119,0405	107,8719	104,1406	101,9693	119,1211	105,1691	101,4085	103,4794	122,5086	107,0331	111,6078	123,3583	106,5159	105,0395	109,2796	109,9848	110,1756	105,7474	117,7485	110,9253	102,7524	10970,87	107,7369	15716,21	116,4629	10,51351
6	200729890044_F	Pop1	200729890044	F	10429	12770	391,8207	104,6439	114,309	124,5452	178,2561	1212,666	26243,19	14511,17	93,24261	110,4451	110,1117	99,47543	97,79758	107,034	112,4694	110,1147	107,748	98,8945	107,6366	98,55937	103,0174	116,096	98,23843	99,98273	104,7289	105,9155	94,24437	110,8427	106,2974	107,6406	94,85436	105,0066	100,9911	123,1435	99,79776	96,98167	102,4106	103,9905	122,5279	109,7389	112,0109	110,9706	105,508	104,4302	103,4367	102,3922	107,8172	106,2274	97,87981	103,0896	109,0749	104,9359	109,2109	101,3733	103,7626	110,0375	114,3755	112,5882	95,18617	100,182	114,0443	96,49866	111,5519	118,2163	106,0899	97,31198	96,79488	93,98183	107,5166	101,5593	115,6647	113,0637	99,25578	98,57278	153,8763	109,2188	109,0881	125,1702	104,6183	112,2226	108,9026	102,4597	108,86	118,077	103,836	107,7567	98,86491	106,8813	103,5946	95,63715	111,9364	118,1951	112,6255	103,7693	101,3044	104,276	108,8898	100,7765	111,7527	113,4751	10175,55	110,2249	16498,52	115,5098	10,2963
7	200729890044_G	Pop1	200729890044	G	8025	10702	380,4086	104,1297	113,4478	122,3055	148,0546	1087,393	26058,3	14748,26	99,68443	109,734	105,7249	106,89	106,8616	109,5004	119,7761	116,1816	101,8435	95,75214	98,59593	105,5879	99,955	121,5979	97,14889	109,5315	106,519	125,618	104,8117	120,0015	103,5294	105,3007	105,3815	103,8145	102,4314	101,2355	126,4713	102,5272	96,47051	98,83955	118,7781	100,4843	109,162	95,21593	101,7788	113,6599	101,9054	109,038	112,0585	101,0392	105,2274	114,3919	108,665	97,88416	105,9994	103,719	103,9332	99,35592	98,20352	119,4416	99,0098	105,7586	114,1385	104,8782	108,9481	111,6915	93,1676	103,1182	101,0437	116,5993	106,0254	90,74612	101,1876	99,78573	109,2308	103,5114	130,6869	105,7596	105,5253	103,5412	108,3533	119,034	103,7425	97,1476	112,6179	110,689	107,2687	95,92918	110,9415	110,7058	108,0303	105,244	124,1079	99,16629	109,4972	111,8376	115,3011	110,1984	107,6815	104,0534	110,7139	125,7861	14250,38	109,6254	16337,86	115,4756	11,63938
8	200729890044_H	Pop1	200729890044	H	8294	10971	384,7902	104,9106	114,1357	122,8536	147,537	1086,297	28745	15200,54	98,96985	111,9504	101,4109	98,09444	94,60787	109,7729	105,3568	103,728	97,2525	105,1043	101,3337	98,50175	89,60814	119,9802	107,6002	98,92885	112,3465	102,0159	105,4261	109,3582	95,85991	110,5314	108,6048	118,9716	100,8113	108,2276	129,5714	116,8588	105,1673	97,19995	116,4596	108,6724	116,4176	102,7676	102,6847	114,1304	110,4345	101,6788	104,4737	110,7026	95,76834	108,7934	104,1686	96,55262	106,691	91,26539	108,0362	105,1504	113,2599	100,9047	104,924	107,9855	114,304	104,415	102,6364	117,9589	113,1092	107,0045	108,4067	106,8719	107,459	101,6875	117,6936	102,1156	103,9982	102,5983	117,5763	104,3126	109,1083	100,4424	108,2885	107,9341	107,5038	100,4348	102,7281	124,7823	102,2856	112,0347	99,66307	103,5883	103,7052	96,96928	119,2584	109,5507	120,143	111,9417	109,2042	107,9945	106,375	109,309	108,691	111,4943	14827,25	110,2566	17313,63	116,3476	10,54246
9	200729890044_I	Pop2	200729890044	I	10359	12671	387,1423	105,9985	114,5598	123,8452	174,8664	1296,899	23039,4	13779,94	100,4031	104,6075	106,0821	112,9234	111,1228	111,0568	105,9374	114,3867	104,7667	106,8222	102,0776	101,0865	93,35316	105,6363	105,7742	103,405	109,7634	107,54	109,172	124,0375	106,6637	104,4883	106,2489	108,633	100,0998	100,3932	112,6288	105,3537	111,0797	101,3982	128,047	105,7139	111,6014	100,1767	103,4775	114,7962	111,8292	112,9701	104,4709	111,872	102,8741	102,7812	102,9364	104,0821	98,71648	111,0833	110,5477	113,4126	107,978	105,3764	101,2131	113,027	116,0803	114,5097	103,6793	108,7647	103,7159	112,0036	100,2806	106,0368	109,6909	104,26	106,3436	102,2428	99,75607	104,0229	127,1232	117,5258	115,1432	111,0175	106,1184	125,2387	103,9111	96,40899	104,0254	118,0096	106,7095	104,0806	105,6632	122,3697	100,6933	102,0913	119,943	96,61854	101,9352	109,1103	112,0844	115,4191	98,15005	103,4578	119,7165	123,492	12011,35	110,3322	14769,85	115,7334	9,169816
10	200729890044_J	Pop2	200729890044	J	8953	11705	322,9224	99,39492	107,0243	114,6299	142,2993	931,7968	17710,56	12092,48	97,65725	107,1469	100,0864	103,4292	98,72755	105,7325	104,2379	110,8569	94,21597	104,0476	95,27074	103,2086	98,59476	99,43781	100,7901	102,473	102,3342	111,7579	99,51867	115,7441	107,4874	109,4216	101,9189	104,4771	106,3752	102,2424	111,9289	104,0284	99,84068	103,7645	108,0268	99,07952	115,4926	100,5436	98,4504	112,3374	99,20616	102,8548	107,2359	98,29218	102,7715	102,5712	111,719	92,80244	108,6573	105,2311	107,2674	101,2798	97,60552	99,84142	95,02237	97,27216	104,1233	95,6805	94,88679	111,1719	99,35474	98,91409	99,5066	103,2783	104,4059	97,44067	99,48913	97,72174	97,24364	100,6929	107,0362	94,50307	99,55741	102,0305	111,7975	109,6988	112,1663	94,85212	94,36857	107,0797	95,45164	93,6955	94,21852	100,3316	108,3179	102,7395	116,755	97,22729	99,62163	97,89532	106,4125	113,098	99,39318	98,96092	111,191	113,1455	11204,64	104,7827	13053,64	108,4644	8,377981
